Bat Speed (mph),Attack Angle (deg),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor,On Plane (%),Power (kW),Peak Bat Speed (mph),Body Rotation (%),Vertical Bat Angle (deg),Spring wOBA
69.4,5,0.18,20.5,68,0.20,3.5,69.4,0.40,-31,0.161
66.1,4,0.17,19.3,67,0.22,3.37,66.1,0.41,-20,0.161
67.9,5,0.18,21,69,0.22,3.29,67.9,0.42,-22,0.161
67,2,0.18,19.8,63,0.20,3.31,67,0.40,-24,0.161
66.7,2,0.18,18.9,75,0.32,3.27,66.7,0.48,-29,0.161
67.5,1,0.19,20.9,61,0.25,3.11,67.5,0.40,-16,0.161
68.9,1,0.18,21.1,75,0.33,3.49,68.9,0.44,-26,0.161
65.7,7,0.19,20.4,67,0.23,2.97,65.7,0.42,-35,0.161
65,1,0.17,19,71,0.35,3.26,65,0.44,-20,0.161
66.9,4,0.18,20,75,0.30,3.3,66.9,0.45,-20,0.161
70.6,17,0.15,20.4,80,0.33,4.25,70.6,0.42,-35,0.161
77.1,13,0.15,23.5,84,0.49,5.01,77.1,0.40,-30,0.161
71.3,7,0.16,21.7,89,0.41,4.11,71.3,0.44,-46,0.161
66,2,0.17,18.8,75,0.25,3.4,66,0.45,-23,0.161
66.6,4,0.18,18.5,68,0.20,3.27,66.6,0.43,-21,0.161
68.7,1,0.19,21.9,63,0.31,3.16,68.7,0.39,-28,0.161
67,3,0.18,19.4,62,0.22,3.16,67,0.38,-14,0.161
65.8,4,0.16,18.5,77,0.24,3.47,65.8,0.46,-27,0.161
67.9,4,0.18,20.1,72,0.25,3.39,67.9,0.42,-20,0.161
66.4,1,0.17,19,69,0.27,3.28,66.4,0.43,-25,0.161
66.4,0,0.17,18.8,74,0.30,3.37,66.4,0.46,-26,0.161
64.4,6,0.18,18.2,73,0.22,3.02,64.4,0.45,-13,0.161
65.9,3,0.18,19.3,68,0.28,3.13,65.9,0.43,-21,0.161
